User,Money,Date
Master,600,2020-11-23
Bot,1300,2020-11-23
TLG#5803,2000,2020-11-26
Sir Gouffier De Branlefort.jpeg#0625,1500,2020-11-26
SQuiich#9194,1500,2020-11-25
louis#0929,900,2020-11-26
Chicken Potatoes#2162,1200,2020-11-26
TheTrueSpectator#6673,1000,2020-11-25
Menchrof#5929,2400,2020-11-26
Theo_Guerrois#2303,1000,2020-11-25
Jérôme Kacimi#2279,1500,2020-11-27
